
============================ Unprocessed Statistics ============================

 === DURATION BETWEEN EACH READING :: 100ms ===

S.NO	PWR_PKG_ENERGY	INST_RETIRED	CORE FREQ	UNCORE FREQ	
217	37.504822	29892543291.000000	23		20
218	37.344238	29839263673.000000	23		19
219	37.496277	29922735689.000000	23		20
220	37.465271	29937610824.000000	23		20
221	37.438110	29895071144.000000	23		20
222	37.423035	29807651110.000000	23		20
223	37.646851	30142240800.000000	23		19
224	37.276428	29798408818.000000	23		20
225	37.592590	29796377070.000000	23		20
226	37.386780	29824233746.000000	23		20
227	37.415039	29843816847.000000	23		20
228	37.397217	29983151322.000000	23		20
229	37.359253	29617884796.000000	23		20
230	37.679260	29919900380.000000	23		20
231	37.408691	30028670666.000000	23		20
232	37.380981	29892317550.000000	23		20
233	37.313416	29881849123.000000	23		20
234	37.618225	29860475673.000000	23		20
235	37.399902	30021898147.000000	23		20
236	37.337036	29571144378.000000	24		20
237	37.515686	30036436061.000000	23		20
238	37.519775	29953875825.000000	23		20
239	37.403320	29861239285.000000	23		20
240	35.856812	26509008352.000000	23		20
241	38.284424	30219796929.000000	23		20
242	37.883118	30552398997.000000	23		20
243	37.826721	30467864381.000000	23		20
244	37.126648	30321574533.000000	23		19
245	37.906433	30173721961.000000	23		20
246	37.759521	30185497728.000000	23		19
247	37.327148	30422843988.000000	23		19
248	37.220520	30135692378.000000	23		19
249	37.090271	30345845404.000000	23		20
250	37.581421	30217522038.000000	23		19
251	24.217407	9258831943.000000	24		21

=============================================================================
